competitor_product_id,price,timestamp
COMP001,,2025-05-26 20:07:07.233252
COMP001,12.66,2025-06-09 20:07:07.233252
COMP001,12.32,2025-08-17 20:07:07.233252
COMP001,13.37,2025-12-21 20:07:07.233252
COMP001,13.37,2025-12-27 20:07:07.233252
COMP001,11.04,2026-01-11 20:07:07.233252
COMP001,13.6,2026-01-16 20:07:07.233252
COMP001,10.43,2026-01-24 20:07:07.233252
COMP001,13.7,2026-02-26 20:07:07.233252
COMP001,10.74,2026-03-31 20:07:07.233252
COMP001,10.23,2026-04-03 20:07:07.233252
COMP001,,2026-04-05 20:07:07.233252
COMP002,17.86,2025-04-24 20:07:07.233252
COMP002,17.41,2025-05-03 20:07:07.233252
COMP002,19.87,2025-06-07 20:07:07.233252
COMP002,18.28,2025-07-03 20:07:07.233252
COMP002,16.28,2025-07-29 20:07:07.233252
COMP002,19.5,2025-11-08 20:07:07.233252
COMP002,19.9,2025-12-05 20:07:07.233252
COMP002,15.67,2025-12-15 20:07:07.233252
COMP002,19.12,2025-12-25 20:07:07.233252
COMP002,16.39,2026-02-04 20:07:07.233252
COMP002,15.17,2026-02-14 20:07:07.233252
COMP002,,2026-03-22 20:07:07.233252
COMP003,23.08,2025-05-02 20:07:07.233252
COMP003,23.05,2025-06-07 20:07:07.233252
COMP003,29.44,2025-10-16 20:07:07.233252
COMP003,24.03,2025-11-11 20:07:07.233252
COMP003,24.3,2025-12-17 20:07:07.233252
COMP003,27.78,2026-01-09 20:07:07.233252
COMP003,20.9,2026-01-15 20:07:07.233252
COMP003,29.98,2026-01-24 20:07:07.233252
COMP003,29.96,2026-01-26 20:07:07.233252
COMP003,22.02,2026-02-14 20:07:07.233252
COMP003,22.08,2026-03-25 20:07:07.233252
COMP003,30.03,2026-04-20 20:07:07.233252
COMP004,39.84,2025-04-29 20:07:07.233252
COMP004,44.09,2025-05-24 20:07:07.233252
COMP004,37.83,2025-05-29 20:07:07.233252
COMP004,45.15,2025-06-22 20:07:07.233252
COMP004,38.8,2025-07-09 20:07:07.233252
COMP004,33.89,2025-08-28 20:07:07.233252
COMP004,,2025-09-19 20:07:07.233252
COMP004,49.17,2025-10-07 20:07:07.233252
COMP004,40.58,2025-10-19 20:07:07.233252
COMP004,49.2,2026-02-15 20:07:07.233252
COMP004,,2026-03-17 20:07:07.233252
COMP004,45.94,2026-04-17 20:07:07.233252
COMP005,,2025-05-22 20:07:07.233252
COMP005,26.12,2025-07-12 20:07:07.233252
COMP005,22.45,2025-07-23 20:07:07.233252
COMP005,28.49,2025-08-01 20:07:07.233252
COMP005,,2025-08-02 20:07:07.233252
COMP005,26.97,2025-09-13 20:07:07.233252
COMP005,20.31,2025-09-14 20:07:07.233252
COMP005,21.9,2025-12-14 20:07:07.233252
COMP005,,2026-01-16 20:07:07.233252
COMP005,24.65,2026-03-06 20:07:07.233252
COMP005,21.4,2026-03-09 20:07:07.233252
